date;val1;val2;val3;val4;val5;val6;val7;val8;vbl1;vbl2;vbl3;vbl4;vbl5;vbl6;vbl7;vbl8;vbsv;vcsv;vk4;vk6;temp1;temp2;temp3;temp4;amb_temp;amb_rh;amb_pressure;box_temp;dut_temp;tec_curr;sv_temp;
13/01/2025-02:52:54;3.160000000000e-03;1.000000000000e+00;1.200000000000e+01;1.000048659394e+01;1.000048659394e+01;2.300000000000e+01;2.300000000e+01;2.300000000e+01;0.000000000e+00;9.999884719e+01;6.057310425e+03;0.000000000e+00;0.000000000e+00;0.000000000e+00;0.000000000e+00;0.000000000e+00;2.325130000e+01;0.000000000e+00;0.000000000e+00;2.225410000e+01;0.0;0.0;23.0;0.0;22.823;18.6;1009.7;23.084;23.667;-0.640;23.000;
13/01/2025-02:53:07;3.160000000000e-03;1.000000000000e+00;1.200000000000e+01;1.000053203847e+01;1.000053203847e+01;2.300000000000e+01;2.300000000e+01;2.300000000e+01;0.000000000e+00;9.999889046e+01;6.057209856e+03;0.000000000e+00;0.000000000e+00;0.000000000e+00;0.000000000e+00;0.000000000e+00;2.325130000e+01;0.000000000e+00;0.000000000e+00;2.225260000e+01;0.0;0.0;23.0;0.0;22.823;18.6;1009.6;23.059;23.433;-0.572;23.000;
13/01/2025-02:53:21;3.160000000000e-03;1.000000000000e+00;1.200000000000e+01;1.000053229485e+01;1.000053229485e+01;2.300000000000e+01;2.300000000e+01;2.300000000e+01;0.000000000e+00;9.999893159e+01;6.057234773e+03;0.000000000e+00;0.000000000e+00;0.000000000e+00;0.000000000e+00;0.000000000e+00;2.325120000e+01;0.000000000e+00;0.000000000e+00;2.226590000e+01;0.0;0.0;23.0;0.0;22.823;18.6;1009.6;23.057;23.427;-0.563;23.000;
13/01/2025-02:53:34;3.160000000000e-03;1.000000000000e+00;1.200000000000e+01;1.000053228998e+01;1.000053228998e+01;2.300000000000e+01;2.300000000e+01;2.300000000e+01;0.000000000e+00;9.999882689e+01;6.057261978e+03;0.000000000e+00;0.000000000e+00;0.000000000e+00;0.000000000e+00;0.000000000e+00;2.325140000e+01;0.000000000e+00;0.000000000e+00;2.227250000e+01;0.0;0.0;23.0;0.0;22.808;18.6;1009.6;23.046;23.422;-0.526;23.000;
13/01/2025-02:53:48;3.160000000000e-03;1.000000000000e+00;1.200000000000e+01;1.000053224142e+01;1.000053224142e+01;2.300000000000e+01;2.300000000e+01;2.300000000e+01;0.000000000e+00;9.999889064e+01;6.057289381e+03;0.000000000e+00;0.000000000e+00;0.000000000e+00;0.000000000e+00;0.000000000e+00;2.325180000e+01;0.000000000e+00;0.000000000e+00;2.226260000e+01;0.0;0.0;23.0;0.0;22.803;18.6;1009.6;23.041;23.420;-0.507;23.000;
13/01/2025-02:54:01;3.160000000000e-03;1.000000000000e+00;1.200000000000e+01;1.000053217218e+01;1.000053217218e+01;2.300000000000e+01;2.300000000e+01;2.300000000e+01;0.000000000e+00;9.999891075e+01;6.057318280e+03;0.000000000e+00;0.000000000e+00;0.000000000e+00;0.000000000e+00;0.000000000e+00;2.325130000e+01;0.000000000e+00;0.000000000e+00;2.225300000e+01;0.0;0.0;23.0;0.0;22.803;18.6;1009.7;23.031;23.419;-0.484;23.000;
13/01/2025-02:54:15;3.160000000000e-03;1.000000000000e+00;1.200000000000e+01;1.000053208155e+01;1.000053208155e+01;2.300000000000e+01;2.300000000e+01;2.300000000e+01;0.000000000e+00;9.999894739e+01;6.057347827e+03;0.000000000e+00;0.000000000e+00;0.000000000e+00;0.000000000e+00;0.000000000e+00;2.325180000e+01;0.000000000e+00;0.000000000e+00;2.224410000e+01;0.0;0.0;23.0;0.0;22.808;18.6;1009.7;23.027;23.418;-0.454;23.000;
13/01/2025-02:54:28;3.160000000000e-03;1.000000000000e+00;1.200000000000e+01;1.000053199958e+01;1.000053199958e+01;2.300000000000e+01;2.300000000e+01;2.300000000e+01;0.000000000e+00;9.999888095e+01;6.057374654e+03;0.000000000e+00;0.000000000e+00;0.000000000e+00;0.000000000e+00;0.000000000e+00;2.325140000e+01;0.000000000e+00;0.000000000e+00;2.225140000e+01;0.0;0.0;23.0;0.0;22.803;18.6;1009.6;23.017;23.418;-0.425;23.000;
13/01/2025-02:54:42;3.160000000000e-03;1.000000000000e+00;1.200000000000e+01;1.000053193510e+01;1.000053193510e+01;2.300000000000e+01;2.300000000e+01;2.300000000e+01;0.000000000e+00;9.999901006e+01;6.057400256e+03;0.000000000e+00;0.000000000e+00;0.000000000e+00;0.000000000e+00;0.000000000e+00;2.325100000e+01;0.000000000e+00;0.000000000e+00;2.224860000e+01;0.0;0.0;23.0;0.0;22.798;18.6;1009.7;23.008;23.418;-0.392;23.000;
13/01/2025-02:54:55;3.160000000000e-03;1.000000000000e+00;1.200000000000e+01;1.000053184118e+01;1.000053184118e+01;2.300000000000e+01;2.300000000e+01;2.300000000e+01;0.000000000e+00;9.999887394e+01;6.057424398e+03;0.000000000e+00;0.000000000e+00;0.000000000e+00;0.000000000e+00;0.000000000e+00;2.325180000e+01;0.000000000e+00;0.000000000e+00;2.224780000e+01;0.0;0.0;23.0;0.0;22.798;18.6;1009.6;23.008;23.418;-0.396;23.000;
13/01/2025-02:55:09;3.160000000000e-03;1.000000000000e+00;1.200000000000e+01;1.000053176245e+01;1.000053176245e+01;2.300000000000e+01;2.300000000e+01;2.300000000e+01;0.000000000e+00;9.999881576e+01;6.057450576e+03;0.000000000e+00;0.000000000e+00;0.000000000e+00;0.000000000e+00;0.000000000e+00;2.325210000e+01;0.000000000e+00;0.000000000e+00;2.225460000e+01;0.0;0.0;23.0;0.0;22.798;18.6;1009.6;22.997;23.418;-0.367;23.000;
13/01/2025-02:55:22;3.160000000000e-03;1.000000000000e+00;1.200000000000e+01;1.000053172347e+01;1.000053172347e+01;2.300000000000e+01;2.300000000e+01;2.300000000e+01;0.000000000e+00;9.999899408e+01;6.057475205e+03;0.000000000e+00;0.000000000e+00;0.000000000e+00;0.000000000e+00;0.000000000e+00;2.325160000e+01;0.000000000e+00;0.000000000e+00;2.224430000e+01;0.0;0.0;23.0;0.0;22.808;18.6;1009.6;22.994;23.418;-0.347;23.000;
13/01/2025-02:55:35;3.160000000000e-03;1.000000000000e+00;1.200000000000e+01;1.000053168660e+01;1.000053168660e+01;2.300000000000e+01;2.300000000e+01;2.300000000e+01;0.000000000e+00;9.999875991e+01;6.057503329e+03;0.000000000e+00;0.000000000e+00;0.000000000e+00;0.000000000e+00;0.000000000e+00;2.325160000e+01;0.000000000e+00;0.000000000e+00;2.224760000e+01;0.0;0.0;23.0;0.0;22.813;18.6;1009.6;22.978;23.418;-0.300;23.000;
13/01/2025-02:55:49;3.160000000000e-03;1.000000000000e+00;1.200000000000e+01;1.000053163505e+01;1.000053163505e+01;2.300000000000e+01;2.300000000e+01;2.300000000e+01;0.000000000e+00;9.999886065e+01;6.057528912e+03;0.000000000e+00;0.000000000e+00;0.000000000e+00;0.000000000e+00;0.000000000e+00;2.325130000e+01;0.000000000e+00;0.000000000e+00;2.224950000e+01;0.0;0.0;23.0;0.0;22.813;18.6;1009.6;22.980;23.418;-0.300;23.000;
13/01/2025-02:56:02;3.160000000000e-03;1.000000000000e+00;1.200000000000e+01;1.000053160782e+01;1.000053160782e+01;2.300000000000e+01;2.300000000e+01;2.300000000e+01;0.000000000e+00;9.999895367e+01;6.057557829e+03;0.000000000e+00;0.000000000e+00;0.000000000e+00;0.000000000e+00;0.000000000e+00;2.325160000e+01;0.000000000e+00;0.000000000e+00;2.224100000e+01;0.0;0.0;23.0;0.0;22.808;18.6;1009.5;22.976;23.419;-0.297;23.000;
13/01/2025-02:56:16;3.160000000000e-03;1.000000000000e+00;1.200000000000e+01;1.000053156952e+01;1.000053156952e+01;2.300000000000e+01;2.300000000e+01;2.300000000e+01;0.000000000e+00;9.999888741e+01;6.057584638e+03;0.000000000e+00;0.000000000e+00;0.000000000e+00;0.000000000e+00;0.000000000e+00;2.325160000e+01;0.000000000e+00;0.000000000e+00;2.224040000e+01;0.0;0.0;23.0;0.0;22.808;18.6;1009.6;22.980;23.419;-0.293;23.000;
13/01/2025-02:56:29;3.160000000000e-03;1.000000000000e+00;1.200000000000e+01;1.000053152023e+01;1.000053152023e+01;2.300000000000e+01;2.300000000e+01;2.300000000e+01;0.000000000e+00;9.999902407e+01;6.057609429e+03;0.000000000e+00;0.000000000e+00;0.000000000e+00;0.000000000e+00;0.000000000e+00;2.325130000e+01;0.000000000e+00;0.000000000e+00;2.223430000e+01;0.0;0.0;23.0;0.0;22.803;18.6;1009.5;22.976;23.419;-0.292;23.000;
